Title,Author,Tag
The Happiness Equation: Want Nothing + Do Anything = Have Everything,Neil Pasricha,happy
The Antidote: Happiness for People Who Can't Stand Positive Thinking,Oliver Burkeman,happy
The Little Book of Hygge: The Danish Way to Live Well,Meik Wiking,happy
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,happy
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,happy
The Gifts of Imperfection,Brené Brown,happy
Learned Optimism: How to Change Your Mind and Your Life,Martin E.P. Seligman,happy
Man's Search for Meaning,Viktor E. Frankl,happy
"Eat, Pray, Love",Elizabeth Gilbert,happy
"Hardwiring Happiness: The New Brain Science of Contentment, Calm, and Confidence",Rick Hanson,happy
Before Happiness: How Creating a Positive Reality First Amplifies Your Levels of Happiness and Success,Shawn Achor,happy
The Conquest of Happiness,Bertrand Russell,happy
A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,happy
Better Than Before: Mastering the Habits of Our Everyday Lives,Gretchen Rubin,happy
"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,happy
"Buddha's Brain: The Practical Neuroscience of Happiness, Love, and Wisdom",Rick Hanson,happy
The Happiness Trap: How to Stop Struggling and Start Living: A Guide to ACT,Russ Harris,happy
The Little Book of Lykke: The Danish Search for the World's Happiest People,Meik Wiking,happy
Harry Potter and the Sorcerer's Stone,J.K. Rowling,fantasy
"Harry Potter and the Chamber of Secrets",J.K. Rowling,fantasy
"Assassin's Apprentice ",Robin Hobb,fantasy
"The Color of Magic",Terry Pratchett,fantasy
The Subtle Knife,Philip Pullman,fantasy
Uprooted,Naomi Novik,fantasy
"A Wizard of Earthsea",Ursula K. Le Guin,fantasy
"The Magician's Nephew ",C.S. Lewis,fantasy
"Harry Potter and the Prisoner of Azkaban",J.K. Rowling,fantasy
"The Hobbit, or There and Back Again",J.R.R. Tolkien,fantasy
"Harry Potter and the Goblet of Fire ",J.K. Rowling,fantasy
The Princess Bride,William Goldman,fantasy
"The Well of Ascension",Brandon Sanderson,fantasy
"Harry Potter and the Deathly Hallows ",J.K. Rowling,fantasy
"Harry Potter and the Half-Blood Prince",J.K. Rowling,fantasy
"Harry Potter and the Order of the Phoenix ",J.K. Rowling,fantasy
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,fantasy
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,fantasy
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,fantasy
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,fantasy
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,fantasy
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,fantasy
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,fantasy
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,fantasy
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,fantasy
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,fantasy
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,fantasy
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,fantasy
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,fantasy
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,fantasy
"American Gods (American Gods, #1)",Neil Gaiman,fantasy
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,fantasy
"Twilight (Twilight, #1)",Stephenie Meyer,fantasy
The Night Circus,Erin Morgenstern,fantasy
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,fantasy
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,fantasy
Stardust,Neil Gaiman,fantasy
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,fantasy
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,fantasy
"Neverwhere (London Below, #1)",Neil Gaiman,fantasy
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,fantasy
The Lord of the Rings,J.R.R. Tolkien,fantasy
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,fantasy
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,fantasy
The Ocean at the End of the Lane,Neil Gaiman,fantasy
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,fantasy
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,fantasy
"Graceling (Graceling Realm, #1)",Kristin Cashore,fantasy
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,fantasy
The Silmarillion,J.R.R. Tolkien,fantasy
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,motivational
The Alchemist,Paulo Coelho,motivational
Who Moved My Cheese?,Spencer Johnson,motivational
How to Win Friends and Influence People,Dale Carnegie,motivational
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (ebook),Mark Manson,motivational
Think and Grow Rich,Napoleon Hill,motivational
"The Secret (The Secret, #1)",Rhonda Byrne,motivational
The Last Lecture,Randy Pausch,motivational
"Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be (ebook)",Rachel Hollis,motivational
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,motivational
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,motivational
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,motivational
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,motivational
"Rich Dad, Poor Dad",Robert T. Kiyosaki,motivational
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,motivational
Outliers: The Story of Success,Malcolm Gladwell,motivational
Tuesdays with Morrie,Mitch Albom,motivational
Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,motivational
Man's Search for Meaning,Viktor E. Frankl,motivational
The Magic of Thinking Big,David J. Schwartz,motivational
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,motivational
The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,motivational
The Power of Positive Thinking,Norman Vincent Peale,motivational
The 4-Hour Workweek (ebook),Timothy Ferriss,motivational
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,motivational
"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",Gretchen Rubin,motivational
As a Man Thinketh,James Allen,motivational
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,motivational
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,motivational
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World (Audiobook),William H. McRaven,motivational
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",Tony Robbins,motivational
How to Stop Worrying and Start Living,Dale Carnegie,motivational
Jonathan Livingston Seagull,Richard Bach,motivational
The Gifts of Imperfection,Brené Brown,motivational
The Richest Man in Babylon,George S. Clason,motivational
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,motivational
Mindset: The New Psychology of Success,Carol S. Dweck,motivational
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,motivational
The Greatest Salesman in the World,Og Mandino,motivational
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,motivational
The Five People You Meet in Heaven,Mitch Albom,motivational
The War of Art: Winning the Inner Creative Battle,Steven Pressfield,motivational
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,motivational
Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,Richard Carlson,motivational
Steve Jobs,Walter Isaacson,motivational
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,motivational
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,motivational
"Eat, Pray, Love",Elizabeth Gilbert,motivational
The Success Principles: How to Get from Where You Are to Where You Want to Be,Jack Canfield,motivational
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,motivational
"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",Gretchen Rubin,happy
Stumbling on Happiness,Daniel Todd Gilbert,happy
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,happy
The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work (ebook),Shawn Achor,happy
The Art of Happiness,Dalai Lama XIV,happy
The How of Happiness: A Scientific Approach to Getting the Life You Want,Sonja Lyubomirsky,happy
Authentic Happiness: Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment,Martin E.P. Seligman,happy
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,happy
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Dan   Harris,happy
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,happy
Flourish: A Visionary New Understanding of Happiness and Well-Being,Martin E.P. Seligman,happy
"Happier at Home: Kiss More, Jump More, Abandon a Project, Read Samuel Johnson, and My Other Experiments in the Practice of Everyday Life (Audiobook)",Gretchen Rubin,happy
Happiness: A Guide to Developing Life's Most Important Skill,Matthieu Ricard,happy
Happier: Learn the Secrets to Daily Joy and Lasting Fulfillment,Tal Ben-Shahar,happy
The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,happy
Just Listen,Sarah Dessen,anger
Anger: Wisdom for Cooling the Flames,Thich Nhat Hanh,anger
Reality Boy,A.S. King,anger
The Cow in the Parking Lot: A Zen Approach to Overcoming Anger,Leonard Scheff,anger
Never Get Angry Again: The Foolproof Way to Stay Calm and in Control in Any Conversation or Situation,David J. Lieberman,anger
The Last Time I Was Me,Cathy  Lamb,anger
