line,label
@Liverpool_TX that would be hysterical!!!  ,4
"@KGMB9 Too bad!! Gotta bug 'em to go!! ;) Rep. Mizuno even gave us a certificate of recognition!  Oh, &amp; wave at the camera to me!! Hahaha!",4
mmmmm I want pizza nd a spicy chicken fr0m wendys nd mcd0nalds fries  bein preg wiin!!! lol,4
My sister says she's on a quest for a M.A.N  LOL good luck gurl ,4
Damnit I was really digging this season of Reaper  http://www.tv.com/story/13720.html?ref_story_id=13720&amp;ref_type=1101&amp;ref_name=story,0
"@LindyLin473: Hey, Lindsey!  Guess what!? Brandi Cyrus's (Miley's sister) friend replied to me on Twitter 2day!  AHH BEST DAY OF MY LIFE! ",4
"Heading home after a fun day of duck, goose and nephew chasing ",4
"@cheth, you should try http://en.pageboss.com ",4
"@Beverleyknight Good answer, look forward to seeing Wolves at Old Trafford next season ",4
off to leeds tomorrow ,4
@PacificTshirtCo That'd be great ,4
"@MicaRoberts I might be able to join you, just have to work out what time that is in Australia ",4
"76 in a few minutes, then going to bed. Since Eric hates me and wont run around with me ",0
Hhh~ It's times like THAT when you want things to stay right  Then someone comes and wrecks it.,0
@nicolerichie Gossip Girl was a repeat ,0
Feeding my greedy ray of Sonshine ,4
Blimmin' heck i'm slightly tired! And i still didn't see no Otalia ,0
@rootbeersoup Yeah. Too bad people like a certain burrito-eating man exist. ,0
Tried to get up earlier today........didn't work out ,0
came back from my friends house. After carnival. Had fun ,4
Misses Rach already ,0
@zinziii dammit! when ya heading home? we didn't get messy drunk together at any point! ,0
@BobbyLy Nah gentlemen. I got class at 8AM on Wednesdays.  But thanks anyway!&lt;3,0
tired  i need a regular 9-5,0
Off to the doctor's today emily has a rash which looks like the measles ,0
@chelsea_playboy of course you can punch me if i get impregnated ,4
Going to sleep... hoping to wake up and tommorow will be Wednesday instead of Tuesday... I really don't want to go to work ,0
"@RobertHolik sounds good, i sometimes find it hard to get off twitter myself, even when it is 3AM haha sleep well talk soon! ",4
sad that the 'feet' of my macbook just fell off : sad that the 'feet' of my macbook just fell off ,0
@Twitturriffic thanks i'll try  x,4
just found twitter ,4
Why do I keep looking...I know that what I read is gonna hurt but I still look! I guess it's just a girl thing. ,0
@lizp02x oh man that sucks! I'm hoping to go to school HAPPY tomorrow or else it won't be good  ahhh,0
Just remembered that I've forgotten my best friends birthday ,0
Work laptop is officially dead .. Not happy at all.. ,0
Blip.fm is down...I'm going back to normal tweeting for a while. ,0
Check it! - http://onlydivided.blogspot.com/ still all go at http://preciousmessages.co.nz/  Yus!,4
@fletchxx i'm at my bff's house with some friends just chilling and having some vodka!! ,4
could you all pray for me. . Stuff happened at work. I'd appreciae it. . .  thanks,4
@TranquilMammoth 72. but it was 78 earlier today ,4
I cant sleep. Missing the person I love most for the past 7yrs of my life. If only... ,0
Well I'm going to bed early...I wish I could sleep in tomorrow ,0
@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,0
Watching &quot;A walk to Remember&quot; w/ my only family.. Mom and grtandma ,4
"Not gonna lie, I have been so worried for the longest time ",0
"@laurin09 hehe, we ended up going to Sta. Monica instead.  I wanted to look for that ferris wheel operator who's an Adam fan.  ",4
g'night tweeterss! have sweet dreams &lt;3  -  im off ,4
@AmerAsian944 Are you going to put a picture up for your account? You need an icon so we can remember you.  ,4
listening to &quot;Tennis Court Soundtrack&quot;. I need to update my blog and songs before I go to Seria ,4
@defsound aawwwww i know what u mean. iv never been that girl with a sense of humor ,0
Is geeking out with the best of them! ,4
@MurderousMamii toronto  ....halifax next year for school though,4
Our life is a musical ,4
@mobile gas station filling up my tank while these H.S kidz are buying their swishers for tonight.  http://twitpic.com/3kv9v,4
"@KimberlyKimmel New artilce idea: Twitter for the novice-etiquette, followers, and the true meaning of Twitter! ",4
@vernonhamilton You're a stranger   ,0
finished making chocolates and feet really hurt... ,0
@caterina999 well go!!! But goodnight I know you're going to bed....talk to you tomorow ,4
@jackalopekid watch out...you might turn into one. LOL. ,4
@pratama Same iMac came out $320 more in Indonesia than the States. ,0
Talking to Joe... Who I'll be going to college with next year    !,4
@russu awesome indeed  happy tummy and melon,4
stoked on getting my city and colour tickets. ,4
"@zanmeister ''how's the sound, peeps?' LOL tell him we're recording it to podcast later, so MORE TUNES PLEASE  http://tinyurl.com/cxhc3y",4
@supergrover24 thanks jodie ,4
"@jessime88 and, to go back to an earlier point, we can all agree I'm right  MUAHAHAHAHAHA",4
@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke ,0
watching the second Bridget Jones with Becky  yes becky i twitter &lt;3,4
"Back at :work, have to go to ::Zeist in a minute. But want to stay here to do some work ",0
A little sad ,0
On a date with my wife ,4
"@hinojosad It's great as always.  Just discovered the hosted applications interface, which is damned cool. how'd you get my twitter? ",4
"@selenagomez Aw, I'm loving these Joey moments. Adorable. ",4
@monicadearest Tell me when it's done kay? I wanna watch it ,4
@adamcurry is it possible to add another stream option that uses the regular 8080/80 port? I can't stream noagenda because of fw/proxy ,0
I am listing more items on ebay to sell!  Takes forever..meanwhile Coleman is watching The Hills season premier without me.. ,0
Hi ppl!! Tough times in my neck of the woods...haha...glad i was visiting someone else! ,4
Just got back from the hospital. BF's nephew might have meningitis ,0
old song but love singing along 2 it still  ? http://blip.fm/~4kf4l,4
@jordanknight I only joined Twitter because Donnie joined... Twitter's actually not so bad. It can be fun... enjoy!!! ... and Thank You! ,4
"@riancurtis  i'm here, friend, and i love you.",0
laying in bed with no voice.. ,0
feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.,0
@neestaples I grew up with a field of fresh snow-peas to pick and eat. Love them ,4
I reached 900 followers!!! Thank you SO much everyone! ,4
Everything's coming up Millhouse! Harry Potter and Saturday night on The Lane ,4
"Had a great day 1 of my vaca... Cavs won, Tribe destroyed the yankees, and right now I am in boardman bowling. ",4
"@therealswizzz i guess graphic art didn't make the cut, huh? ",0
@keelybin Ermmm not really. It's hearing the dreaded alarm clock ,0
im so confused  This SUCKS!!!!!,0
Still 3 more days until my Internet gets uncapped ,0
"Wrote exactly three lines of dialogue tonight, then gave up. ",0
@huntermoore I don't want him to ever punch me.  ,0
@hitothebye come back im on again ,4
